# Valheim ObjectDB item prefabs extracted from local game assets.
# inventoryValid is true for prefabs with localized shared item names; false rows are usually internal creature/effect equipment.
# name	inventoryValid	baseDurability	durabilityStep	maxQuality	maxStack
Abomination_attack1	false	100	50	1	1
Abomination_attack2	false	100	50	1	1
Abomination_attack3	false	100	50	1	1
Acorn	true	100	50	1	100
Amber	true	100	50	1	20
AmberPearl	true	100	50	1	50
AncientSeed	true	100	50	1	50
ArmorAshlandsMediumChest	true	1000	200	4	1
ArmorAshlandsMediumlegs	true	1000	200	4	1
ArmorBerserkerChest	true	1000	200	4	1
ArmorBerserkerLegs	true	1000	200	4	1
ArmorBerserkerUndeadChest	true	1000	200	4	1
ArmorBerserkerUndeadLegs	true	1000	200	4	1
ArmorBronzeChest	true	1000	200	4	1
ArmorBronzeLegs	true	1000	200	4	1
ArmorCarapaceChest	true	1200	200	4	1
ArmorCarapaceLegs	true	1200	200	4	1
ArmorDress1	true	1000	200	4	1
ArmorDress10	true	1000	200	4	1
ArmorDress2	true	1000	200	4	1
ArmorDress3	true	1000	200	4	1
ArmorDress4	true	1000	200	4	1
ArmorDress5	true	1000	200	4	1
ArmorDress6	true	1000	200	4	1
ArmorDress7	true	1000	200	4	1
ArmorDress8	true	1000	200	4	1
ArmorDress9	true	1000	200	4	1
ArmorFenringChest	true	1000	200	4	1
ArmorFenringLegs	true	1000	200	4	1
ArmorFlametalChest	true	1000	200	4	1
ArmorFlametalLegs	true	1000	200	4	1
ArmorHarvester1	true	1000	200	4	1
ArmorHarvester2	true	1000	200	4	1
ArmorIronChest	true	1000	200	4	1
ArmorIronLegs	true	1000	200	4	1
ArmorLeatherChest	true	400	100	4	1
ArmorLeatherLegs	true	400	100	4	1
ArmorMageChest	true	1000	200	4	1
ArmorMageChest_Ashlands	true	1000	200	4	1
ArmorMageLegs	true	1000	200	4	1
ArmorMageLegs_Ashlands	true	1000	200	4	1
ArmorPaddedCuirass	true	1000	200	4	1
ArmorPaddedGreaves	true	1000	200	4	1
ArmorRagsChest	true	200	50	2	1
ArmorRagsLegs	true	200	50	2	1
ArmorRootChest	true	800	100	4	1
ArmorRootLegs	true	800	100	4	1
ArmorTrollLeatherChest	true	500	200	4	1
ArmorTrollLeatherLegs	true	500	200	4	1
ArmorTunic1	true	1000	200	4	1
ArmorTunic10	true	1000	200	4	1
ArmorTunic2	true	1000	200	4	1
ArmorTunic3	true	1000	200	4	1
ArmorTunic4	true	1000	200	4	1
ArmorTunic5	true	1000	200	4	1
ArmorTunic6	true	1000	200	4	1
ArmorTunic7	true	1000	200	4	1
ArmorTunic8	true	1000	200	4	1
ArmorTunic9	true	1000	200	4	1
ArmorWolfChest	true	1000	200	4	1
ArmorWolfLegs	true	1000	200	4	1
ArrowBronze	true	100	50	1	100
ArrowCarapace	true	100	50	1	100
ArrowCharred	true	100	50	1	100
ArrowFire	true	100	50	1	100
ArrowFlint	true	100	50	1	100
ArrowFrost	true	100	50	1	100
ArrowIron	true	100	50	1	100
ArrowNeedle	true	100	50	1	100
ArrowObsidian	true	100	50	1	100
ArrowPoison	true	100	50	1	100
ArrowSilver	true	100	50	1	100
ArrowWood	true	100	50	1	100
AskBladder	true	100	50	1	50
AskHide	true	100	50	1	50
AsksvinCarrionNeck	true	100	50	1	50
AsksvinCarrionPelvic	true	100	50	1	50
AsksvinCarrionRibcage	true	100	50	1	50
AsksvinCarrionSkull	true	100	50	1	50
AsksvinEgg	true	100	50	4	20
AsksvinMeat	true	100	50	1	20
Asksvin_Bite	false	100	50	1	1
Asksvin_Headbutt	false	100	50	1	1
Asksvin_Pounce	false	100	50	1	1
Asksvin_Turnaround	false	100	50	1	1
AtgeirBlackmetal	true	175	50	4	1
AtgeirBronze	true	125	50	4	1
AtgeirHimminAfl	true	175	50	4	1
AtgeirIron	true	175	50	4	1
AtgeirWood	true	175	50	4	1
AxeBerzerkr	true	175	50	4	1
AxeBerzerkrBlood	true	175	50	4	1
AxeBerzerkrLightning	true	175	50	4	1
AxeBerzerkrNature	true	175	50	4	1
AxeBlackMetal	true	175	50	4	1
AxeBronze	true	125	50	4	1
AxeEarly	true	175	50	4	1
AxeFlint	true	100	30	4	1
AxeHead1	true	100	50	1	10
AxeHead2	true	100	50	1	10
AxeIron	true	175	50	4	1
AxeJotunBane	true	175	50	4	1
AxeStone	true	100	30	4	1
AxeWood	true	125	50	4	1
BarberKit	true	100	50	1	1
Barley	true	100	50	1	100
BarleyFlour	true	100	50	1	50
BarleyWine	true	100	50	1	10
BarleyWineBase	true	100	50	1	1
BarrelRings	true	100	50	1	20
Battleaxe	true	200	50	4	1
BattleaxeBlackmetal	true	200	50	4	1
BattleaxeCrystal	true	200	50	4	1
BattleaxeSkullSplittur	true	200	50	4	1
BattleaxeWood	true	200	50	4	1
Beard1	true	100	50	1	1
Beard10	true	100	50	1	1
Beard11	true	100	50	1	1
Beard12	true	100	50	1	1
Beard13	true	100	50	1	1
Beard14	true	100	50	1	1
Beard15	true	100	50	1	1
Beard16	true	100	50	1	1
Beard17	true	100	50	1	1
Beard18	true	100	50	1	1
Beard19	true	100	50	1	1
Beard2	true	100	50	1	1
Beard20	true	100	50	1	1
Beard21	true	100	50	1	1
Beard22	true	100	50	1	1
Beard23	true	100	50	1	1
Beard24	true	100	50	1	1
Beard25	true	100	50	1	1
Beard26	true	100	50	1	1
Beard3	true	100	50	1	1
Beard4	true	100	50	1	1
Beard5	true	100	50	1	1
Beard6	true	100	50	1	1
Beard7	true	100	50	1	1
Beard8	true	100	50	1	1
Beard9	true	100	50	1	1
BeardNone	true	100	50	1	1
BeechSeeds	true	100	50	1	100
Bell	true	100	50	1	9
BellFragment	true	100	50	1	9
BeltStrength	true	100	50	1	1
Bilebag	true	100	50	1	50
